GeneSymbol,Control_mean,APOEhi_mean,log2FC_APOEhi_vs_Control,p_value,FDR,significance
FGFR1,7.05,9.206666666666665,0.38500772578545217,0.0020979932152304947,0.015313499469041309,Not significant
CCDC9,4.433333333333333,7.370000000000001,0.7331431352905062,0.002096148814272663,0.015313499469041309,Not significant
CCL21,2.0533333333333332,0.15666666666666665,-3.7037207024292145,0.002100156558061388,0.01531430955792474,Downregulated
HRH2,5.816666666666666,2.39,-1.2828265070343206,0.002107306423658359,0.01535667738995281,Downregulated
STARD8,4.466666666666667,2.19,-1.0279320657978221,0.002109025369382965,0.01535943952302219,Downregulated
SLC25A44,8.98,11.366666666666667,0.33998815866502485,0.00211469960150762,0.015370274129242755,Not significant
GALT,2.7733333333333334,1.3566666666666667,-1.031011822799845,0.0021144983768373597,0.015370274129242755,Downregulated
DAPK2,0.9233333333333333,1.7700000000000002,0.9380790964335918,0.002111979392724042,0.015370274129242755,Not significant
GIMAP1,2.8200000000000003,0.64,-2.1378104039668306,0.0021158765223715493,0.015370274129242755,Downregulated
ZNF629,8.39,6.016666666666667,-0.4796385600716859,0.002119199103401787,0.015384660748761676,Not significant
PLA2G7,4.859999999999999,2.1366666666666667,-1.185216227671944,0.0021228584917505067,0.015401472715782315,Downregulated
OASL,2.44,0.26,-3.225350583211269,0.0021252613622232083,0.015409153064620264,Downregulated
EFCAB2,2.5433333333333334,1.8033333333333335,-0.4958218032768443,0.0021291172955061203,0.015427352438929618,Not significant
CTSO,4.81,3.026666666666667,-0.6681304199942547,0.0021305593780760975,0.01542804936884795,Not significant
MLLT1,13.293333333333331,10.49,-0.34165923077489896,0.0021338981883713823,0.015432728664543316,Not significant
DHCR7,3.3966666666666665,5.13,0.5946957038888404,0.00213305769014544,0.015432728664543316,Not significant
BTN3A2,5.583333333333333,4.16,-0.4244547713586743,0.0021391361122783726,0.015456890307475926,Not significant
GPATCH11,10.913333333333334,19.406666666666666,0.8304026663308973,0.002141284289302257,0.015456890307475926,Not significant
KDM6B,2.0,6.456666666666666,1.6902918062634718,0.0021402422349651325,0.015456890307475926,Upregulated
ITGA5,27.99,67.19999999999999,1.2635196722992117,0.0021464620819521578,0.015484515321219373,Upregulated
SYPL1,35.98,23.689999999999998,-0.6028961869735585,0.002147895386943893,0.015485109950023803,Not significant
DCHS1,2.22,1.1433333333333333,-0.9567020363108804,0.002150862465960904,0.015487020381476032,Not significant
AHDC1,1.4633333333333332,0.6533333333333334,-1.1621463266265901,0.002149892667361068,0.015487020381476032,Downregulated
BCL3,3.9333333333333336,8.396666666666667,1.0938693295885125,0.0021554957042645446,0.015510371511820938,Upregulated
NEK8,2.1233333333333335,1.0933333333333335,-0.956957910839163,0.0021568116714509793,0.015510371511820938,Not significant
EEF1A2,2.476666666666667,5.419999999999999,1.1295768996285216,0.0021595187439620656,0.01551327714371709,Upregulated
ZNF460,0.66,1.82,1.4620087454691464,0.0021599223869294666,0.01551327714371709,Upregulated
USB1,9.816666666666666,7.340000000000001,-0.41940358243974357,0.002162162967009615,0.015519645642348917,Not significant
MRPL49,14.456666666666665,20.97666666666667,0.5370194832568347,0.002165420698159825,0.015533302542556991,Not significant
ACBD3,36.446666666666665,113.42666666666666,1.6378742145049463,0.0021688006309707065,0.01554781840701514,Upregulated
SOCS6,10.956666666666669,5.573333333333334,-0.975069442250982,0.0021742514848144398,0.015577152981517453,Not significant
CCNG2,6.026666666666667,19.03,1.6586798288227722,0.0021811141545776368,0.015606811207193164,Upregulated
THAP9,0.6733333333333333,1.7266666666666666,1.3572910738264161,0.002180326964463469,0.015606811207193164,Upregulated
CDC25B,7.34,4.6033333333333335,-0.6729843201585222,0.0021878007415666338,0.01564222813880361,Not significant
DHDH,0.7033333333333333,2.86,2.0221892311093987,0.0021887929804275483,0.01564222813880361,Upregulated
INTS6L,7.890000000000001,5.493333333333333,-0.522263700424129,0.002190882882801484,0.015647408402213965,Not significant
CDK2AP2,13.503333333333332,33.78,1.322789615797293,0.0021935564024123996,0.01565674784611042,Upregulated
SOBP,0.69,1.3266666666666667,0.9421353632547712,0.002196225561947419,0.0156660445654034,Not significant
TROAP,5.543333333333334,3.1466666666666665,-0.8167312273709908,0.0022023867051857464,0.01570022313528869,Not significant
CCDC71,13.79,5.033333333333333,-1.453854423474718,0.002211731275654947,0.015749038729705275,Downregulated
SBDS,21.623333333333335,33.52,0.6324095323073784,0.0022119822345656017,0.015749038729705275,Not significant
GEMIN4,2.3766666666666665,1.06,-1.164121816587497,0.0022140291627494096,0.015753827617999056,Downregulated
ANKRD28,4.826666666666667,12.799999999999999,1.4068585447258097,0.002216374064422754,0.015760729466797786,Upregulated
AMFR,11.673333333333334,8.9,-0.3913008340576733,0.0022238392259982505,0.015804010568888992,Not significant
SNHG3,9.78,5.926666666666666,-0.7225176503067812,0.0022268653348022863,0.015815710862973113,Not significant
SEMA4D,2.3433333333333333,1.2833333333333334,-0.8681580313083572,0.002236387461508607,0.01582451201930442,Not significant
GCA,7.37,5.403333333333333,-0.4477436971706605,0.0022337089711774462,0.01582451201930442,Not significant
CEP120,2.9433333333333334,4.66,0.6626985021054889,0.00223100893569119,0.01582451201930442,Not significant
LDB1,10.256666666666668,6.239999999999999,-0.7168534785390294,0.0022362665109564315,0.01582451201930442,Not significant
PKM,151.85333333333332,111.63333333333333,-0.443907279229778,0.002233753885610837,0.01582451201930442,Not significant
LINC00622,0.93,5.8066666666666675,2.6411055787586903,0.0022353529435542746,0.01582451201930442,Upregulated
ZMIZ2,7.976666666666667,5.359999999999999,-0.5734647090071958,0.002241268793313738,0.01583949702697619,Not significant
LINC00926,7.5566666666666675,3.606666666666667,-1.0668748437151612,0.0022404245605235906,0.01583949702697619,Downregulated
GALNT10,2.72,1.7000000000000002,-0.6777538155862937,0.0022434597003009914,0.015845211672550995,Not significant
RESF1,35.13,15.126666666666665,-1.215555163875092,0.002252242829676919,0.01588797195266663,Downregulated
DUSP1,12.976666666666667,26.736666666666668,1.042842554549756,0.0022522860004434504,0.01588797195266663,Upregulated
PDHX,11.176666666666668,17.003333333333334,0.605283387683881,0.0022671460404176556,0.01596333589122936,Not significant
CTDSP1,19.44333333333333,14.219999999999999,-0.45132685476982853,0.0022671474161145774,0.01596333589122936,Not significant
BCAS2,43.57,68.03,0.6428240707091425,0.0022665031826598985,0.01596333589122936,Not significant
CNST,10.81,15.203333333333333,0.49198258349060764,0.0022716819806752626,0.01598544539256018,Not significant
LBHD1,3.3266666666666667,4.636666666666667,0.47888820414345545,0.0022754364211697085,0.01600204153120759,Not significant
GASK1B,1.6033333333333335,0.7966666666666665,-1.0081160264263738,0.002277037971101682,0.01600348636587283,Downregulated
WARS1,72.34000000000002,128.82333333333335,0.832519680331992,0.002281748999439286,0.016026770086135133,Not significant
TMTC4,2.546666666666667,1.7733333333333334,-0.5218994640905724,0.0022864512649179757,0.016030330794957037,Not significant
MPHOSPH10P2,3.383333333333333,1.7966666666666669,-0.9127461377725112,0.0022845415160080832,0.016030330794957037,Not significant
SLC37A2,41.10666666666666,31.203333333333337,-0.39766109518815923,0.002285746791772705,0.016030330794957037,Not significant
TANGO2,4.55,3.1733333333333333,-0.5197299543218012,0.0022891477944622513,0.016039426141760873,Not significant
MREG,0.9666666666666667,1.7333333333333334,0.8417991353500307,0.002291665453941322,0.01604725784882674,Not significant
CHAC2,4.226666666666667,2.77,-0.6094549200864962,0.0022933248708766115,0.016048252030943434,Not significant
WDR19,0.86,1.4666666666666668,0.7694392008188932,0.0022946074394762533,0.016048252030943434,Not significant
LRFN3,1.97,1.0366666666666666,-0.9255847002954626,0.002297242626499722,0.016056885504613608,Not significant
SLC11A1,16.61666666666667,10.593333333333334,-0.6494250169620702,0.0023021891789875406,0.016081654210075673,Not significant
